1000000 2    0.084  
1000000 3    0.168  
1000000 4    1.016  
1000000 5    2.789  
1000000 6    52.6  
100000 2    0.008  
100000 3    0.016  
100000 4    0.051  
100000 5    0.617  
100000 6    11.72  
100000 7    286.6  
100000 8  -1   
10000 2    0.001  
10000 3    0.002  
10000 4    0.01  
10000 5    0.11  
10000 6    2.522  
10000 7    38.35  
10000 8  -1   
1000 2    0.001  
1000 3     0  
1000 4    0.002  
1000 5    0.023  
1000 6    0.284  
1000 7    3.036  
1000 8    39.23  
100 2     0  
100 3     0  
100 4     0  
100 5    0.003  
100 6    0.018  
100 7    0.075  
100 8    0.364  
10 2     0  
10 3     0  
10 4     0  
10 5     0  
10 6     0  
10 7     0  
10 8     0  
1 2  -1   
1 3  -1   
1 4  -1   
1 5  -1   
1 6  -1   
1 7  -1   
1 8  -1   
